* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:29:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LEFT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
255.981426, 46.440, 55.1704
256.347637, 50.125, 120.2319
256.713848, 55.581, 125.5322
257.080059, 58.575, 119.3403
257.446270, 60.336, 111.3164
257.812481, 61.422, 103.4692
258.178692, 62.139, 96.2129
258.544902, 62.650, 89.3247
258.911113, 63.008, 82.4312
259.277324, 63.191, 75.3994
259.643535, 63.161, 68.5010
260.009746, 62.915, 62.3340
260.375957, 62.525, 57.5557
260.742168, 62.143, 54.4521
261.108379, 61.939, 52.4648
261.474590, 61.977, 50.2793
261.840801, 62.157, 46.7471
262.207012, 62.309, 41.5986
262.573222, 62.309, 35.2798
262.939433, 62.113, 28.4692
263.305644, 61.739, 21.7510
263.671855, 61.242, 15.4492
264.038066, 60.689, 9.5728
264.404277, 60.132, 3.8672
264.770488, 59.594, -2.0513
265.136699, 59.070, -8.5566
265.502910, 58.545, -15.9663
265.869121, 57.994, -24.5659
266.235332, 57.386, -34.6128
266.601542, 56.686, -46.3008
266.967753, 55.868, -59.7085
267.333964, 54.942, -74.7241
267.700175, 53.965, -90.9321
268.066386, 53.058, -107.4570
268.432597, 52.376, -122.9590
268.798808, 52.074, -136.1123
269.165019, 52.263, -146.5190
269.531230, 52.937, -155.1299
269.897441, 53.922, -163.4092
270.263652, 54.964, -172.1733
270.629862, 55.851, 178.6733
270.996073, 56.467, 169.7886
271.362284, 56.786, 162.0879
271.728495, 56.885, 156.5435
272.094706, 56.953, 153.7896
272.460917, 57.248, 153.3857
272.827128, 57.919, 153.5405
273.193339, 58.849, 152.4102
273.559550, 59.799, 149.5073
273.925761, 60.608, 145.5054
274.291972, 61.255, 141.3867
274.658182, 61.830, 137.8086
275.024393, 62.467, 134.7217
275.390604, 63.244, 131.3696
275.756815, 64.120, 126.8525
276.123026, 64.975, 120.7544
276.489237, 65.688, 113.2427
276.855448, 66.189, 104.7969
277.221659, 66.454, 95.9443
277.587870, 66.496, 87.1211
277.954081, 66.344, 78.6172
278.320291, 66.030, 70.5762
278.686502, 65.572, 63.0527
279.052713, 64.973, 56.1187
279.418924, 64.225, 49.9775
279.785135, 63.337, 45.0156
280.151346, 62.365, 41.7236
280.517557, 61.434, 40.3896
280.883768, 60.705, 40.6426
281.249979, 60.272, 41.3291
281.616190, 60.079, 41.1968
281.982401, 59.979, 39.6875
282.348611, 59.851, 36.9229
282.714822, 59.635, 33.2178
283.081033, 59.311, 28.7290
283.447244, 58.847, 23.4082
283.813455, 58.173, 17.1636
284.179666, 57.175, 10.0571
284.545877, 55.691, 2.4438
284.912088, 53.481, -4.8555
285.278299, 50.099, -9.8184
285.644510, 44.555, -4.4136
286.010721, 39.342, 53.8145
286.376931, 45.528, 93.1689
286.743142, 49.719, 94.3921
287.109353, 52.135, 88.6411
287.475564, 53.576, 80.7666
287.841775, 54.371, 71.9067
288.207986, 54.662, 62.4287
288.574197, 54.503, 52.5205
288.940408, 53.896, 42.3643
289.306619, 52.817, 32.1572
289.672830, 51.214, 22.0483
290.039041, 49.003, 11.9219
290.405251, 46.025, 0.7163
290.771462, 41.974, -16.0547
291.137673, 37.345, -56.1133
291.503884, 39.264, -117.0396
291.870095, 44.277, -144.4365
292.236306, 48.040, -158.1396
292.602517, 50.802, -168.2329
292.968728, 52.852, -176.9731
293.334939, 54.373, 175.2349
293.701150, 55.502, 168.4639
294.067361, 56.362, 162.8262
294.433571, 57.067, 158.2827
294.799782, 57.701, 154.5830
295.165993, 58.309, 151.3521
295.532204, 58.895, 148.2573
295.898415, 59.443, 145.1270
296.264626, 59.938, 141.9390
296.630837, 60.379, 138.7241
296.997048, 60.774, 135.4766
297.363259, 61.126, 132.1260
297.729470, 61.428, 128.5854
298.095681, 61.653, 124.8296
298.461891, 61.769, 120.9590
298.828102, 61.745, 117.2280
299.194313, 61.571, 114.0366
299.560524, 61.268, 111.8804
299.926735, 60.907, 111.2305
300.292946, 60.621, 112.2568
300.659157, 60.556, 114.4746
301.025368, 60.786, 116.7319
301.391579, 61.239, 117.8589
301.757790, 61.761, 117.3608
302.124000, 62.207, 115.4609
302.490211, 62.491, 112.7568
302.856422, 62.586, 109.9390
303.222633, 62.511, 107.6494
303.588844, 62.328, 106.3906
303.955055, 62.132, 106.4014
304.321266, 62.031, 107.5161
304.687477, 62.098, 109.1562
305.053688, 62.334, 110.5942
305.419899, 62.678, 111.3301
305.786110, 63.047, 111.2671
306.152320, 63.383, 110.6201
306.518531, 63.662, 109.7300
306.884742, 63.894, 108.9058
307.250953, 64.111, 108.3228
307.617164, 64.351, 107.9766
307.983375, 64.641, 107.7109
308.349586, 64.984, 107.3101
308.715797, 65.369, 106.6021
309.082008, 65.777, 105.5044
309.448219, 66.194, 103.9932
309.814430, 66.611, 102.0479
310.180640, 67.019, 99.6138
310.546851, 67.399, 96.6274
310.913062, 67.724, 93.0664
311.279273, 67.960, 89.0015
311.645484, 68.076, 84.6143
312.011695, 68.054, 80.1792
312.377906, 67.892, 76.0181
312.744117, 67.611, 72.4443
313.110328, 67.252, 69.6851
313.476539, 66.866, 67.8164
313.842750, 66.500, 66.7349
314.208960, 66.182, 66.2280
314.575171, 65.916, 66.0991
314.941382, 65.695, 66.2671
315.307593, 65.523, 66.7407
315.673804, 65.417, 67.5073
316.040015, 65.400, 68.4341
