* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:30:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RIGHT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
165.893543, 75.793, 14.5708
166.259754, 74.158, -3.1792
166.625965, 71.833, -17.7451
166.992176, 68.897, -26.3906
167.358386, 65.916, -25.5137
167.724597, 64.184, -16.9375
168.090808, 63.879, -11.3286
168.457019, 63.763, -11.7744
168.823230, 63.326, -14.3296
169.189441, 62.790, -16.4893
169.555652, 62.451, -19.2939
169.921863, 62.171, -25.3379
170.288074, 61.466, -35.5254
170.654285, 59.795, -48.9951
171.020496, 56.414, -64.4297
171.386706, 48.894, -80.3213
171.752917, 41.128, 78.6716
172.119128, 53.179, 64.7756
172.485339, 57.008, 50.1995
172.851550, 58.692, 37.4854
173.217761, 59.346, 27.3760
173.583972, 59.509, 20.0864
173.950183, 59.528, 15.0264
174.316394, 59.566, 11.0273
174.682605, 59.620, 7.1797
175.048816, 59.644, 3.2529
175.415026, 59.634, -0.7095
175.781237, 59.607, -4.8809
176.147448, 59.531, -9.5977
176.513659, 59.313, -14.8809
176.879870, 58.866, -20.1372
177.246081, 58.189, -24.2910
177.612292, 57.429, -26.3667
177.978503, 56.845, -26.5039
178.344714, 56.580, -26.4102
178.710925, 56.471, -27.7490
179.077136, 56.230, -30.3311
179.443346, 55.725, -32.3467
179.809557, 55.140, -31.7021
180.175768, 54.954, -28.2793
180.541979, 55.451, -25.4912
180.908190, 56.276, -26.5615
181.274401, 56.916, -31.1250
181.640612, 57.144, -36.8213
182.006823, 57.041, -41.0137
182.373034, 57.011, -42.0078
182.739245, 57.606, -41.2861
183.105455, 58.900, -43.2290
183.471666, 60.399, -50.1772
183.837877, 61.667, -61.3364
184.204088, 62.526, -75.0938
184.570299, 62.943, -90.1021
184.936510, 62.946, -105.3457
185.302721, 62.593, -120.0391
185.668932, 61.963, -133.5981
186.035143, 61.152, -145.7290
186.401354, 60.242, -156.5254
186.767565, 59.250, -166.3652
187.133775, 58.099, -175.4536
187.499986, 56.652, 176.8086
187.866197, 54.831, 172.4214
188.232408, 52.918, 174.8970
188.598619, 52.009, -174.9097
188.964830, 52.814, -166.2983
189.331041, 54.191, -166.1313
189.697252, 55.152, -171.7842
190.063463, 55.428, -179.3975
190.429674, 55.016, 174.0884
190.795885, 54.070, 171.7983
191.162095, 53.161, 176.9204
191.528306, 53.436, -172.1396
191.894517, 55.166, -164.7476
192.260728, 57.289, -165.1826
192.626939, 59.099, -171.0757
192.993150, 60.424, -179.7261
193.359361, 61.271, 170.6440
193.725572, 61.697, 161.2471
194.091783, 61.799, 152.9590
194.457994, 61.707, 146.2754
194.824205, 61.554, 141.1548
195.190415, 61.408, 137.1338
195.556626, 61.242, 133.9854
195.922837, 61.030, 132.3940
196.289048, 60.954, 133.6001
196.655259, 61.477, 137.1426
197.021470, 62.845, 139.0352
197.387681, 64.635, 135.6841
197.753892, 66.289, 127.1162
198.120103, 67.517, 114.9688
198.486314, 68.219, 100.7817
198.852525, 68.371, 85.7446
199.218735, 67.976, 70.8765
199.584946, 67.055, 57.2427
199.951157, 65.678, 46.1143
200.317368, 64.033, 38.8618
200.683579, 62.499, 35.9775
201.049790, 61.451, 35.4238
201.416001, 60.795, 33.7710
201.782212, 60.050, 29.9961
202.148423, 58.835, 26.0718
202.514634, 57.116, 25.6729
202.880845, 55.486, 32.4487
203.247055, 55.068, 43.6694
203.613266, 55.749, 50.3188
203.979477, 56.406, 51.0952
204.345688, 56.598, 50.3594
204.711899, 56.587, 51.8862
205.078110, 57.014, 55.8623
205.444321, 58.159, 58.0210
205.810532, 59.557, 55.1519
206.176743, 60.692, 47.9619
206.542954, 61.357, 38.5049
206.909164, 61.552, 28.6343
207.275375, 61.391, 19.7881
207.641586, 61.091, 12.8105
208.007797, 60.920, 7.4365
208.374008, 61.041, 2.1050
208.740219, 61.380, -4.9438
209.106430, 61.732, -14.4023
209.472641, 61.932, -25.9473
209.838852, 61.914, -38.9136
210.205063, 61.685, -52.7446
210.571274, 61.291, -67.1592
210.937484, 60.775, -82.1797
211.303695, 60.152, -98.0415
211.669906, 59.396, -115.0049
212.036117, 58.447, -133.1616
212.402328, 57.220, -152.2988
212.768539, 55.611, -171.8037
213.134750, 53.486, 169.5234
213.500961, 50.674, 154.0742
213.867172, 47.132, 147.2476
214.233383, 44.197, 157.7661
214.599594, 44.759, 172.6055
214.965804, 46.579, 171.0376
215.332015, 47.509, 160.0679
215.698226, 47.281, 146.4473
216.064437, 45.823, 133.9399
216.430648, 42.899, 127.2222
216.796859, 38.586, 139.7773
217.163070, 38.441, -178.5688
217.529281, 42.628, -163.3545
217.895492, 45.583, -165.8389
218.261703, 47.273, -172.8477
218.627914, 47.980, 179.6099
218.994124, 47.805, 174.0786
219.360335, 46.876, 174.4204
219.726546, 46.063, -173.8257
220.092757, 47.381, -155.5415
220.458968, 50.339, -147.1294
220.825179, 53.076, -148.4663
221.191390, 55.129, -153.7778
221.557601, 56.625, -159.6323
221.923812, 57.834, -164.4678
222.290023, 59.043, -168.3135
222.656234, 60.404, -172.4971
223.022444, 61.841, -178.4248
223.388655, 63.161, 173.5005
223.754866, 64.207, 163.7856
224.121077, 64.900, 153.3091
224.487288, 65.228, 143.0132
224.853499, 65.237, 133.8096
225.219710, 65.031, 126.4907
225.585921, 64.789, 121.4629
225.952132, 64.714, 118.3101
226.318343, 64.924, 115.7173
226.684554, 65.356, 112.2876
227.050764, 65.846, 107.4482
227.416975, 66.250, 101.4849
227.783186, 66.509, 95.0703
228.149397, 66.643, 88.8735
228.515608, 66.733, 83.2896
228.881819, 66.888, 78.2144
229.248030, 67.179, 73.0015
229.614241, 67.586, 66.7915
229.980452, 68.007, 59.0112
230.346663, 68.318, 49.5952
230.712873, 68.417, 38.8599
231.079084, 68.243, 27.3081
231.445295, 67.765, 15.5005
231.811506, 66.985, 4.0039
232.177717, 65.929, -6.6494
232.543928, 64.652, -16.0366
232.910139, 63.226, -23.9648
233.276350, 61.712, -30.5596
233.642561, 60.117, -36.1328
234.008772, 58.370, -40.7334
234.374983, 56.374, -43.5825
234.741193, 54.145, -42.6909
235.107404, 52.100, -35.5703
235.473615, 51.137, -23.6357
235.839826, 51.461, -14.3721
236.206037, 52.218, -11.3022
236.572248, 52.841, -12.3872
236.938459, 53.272, -15.3945
237.304670, 53.623, -19.5332
237.670881, 53.968, -25.1274
238.037092, 54.266, -32.7471
238.403303, 54.403, -42.5239
238.769513, 54.271, -54.0547
239.135724, 53.801, -66.5972
239.501935, 52.965, -79.2222
239.868146, 51.787, -90.8467
240.234357, 50.373, -100.2900
240.600568, 48.963, -106.6855
240.966779, 47.898, -110.5254
241.332990, 47.350, -114.1523
241.699201, 47.099, -119.7505
242.065412, 46.748, -127.3521
242.431623, 45.983, -135.1890
242.797833, 44.639, -140.2026
243.164044, 42.889, -137.4546
243.530255, 42.019, -122.7847
243.896466, 43.597, -106.8706
244.262677, 46.270, -101.7417
244.628888, 48.694, -104.2129
244.995099, 50.670, -109.9814
245.361310, 52.294, -117.0591
245.727521, 53.664, -124.7305
246.093732, 54.829, -132.8071
246.459943, 55.796, -141.2158
246.826153, 56.551, -149.8154
247.192364, 57.085, -158.3638
247.558575, 57.404, -166.5688
